id,original_sentence,transformed_sentence,relative_pronoun,number,model,size,model_and_size,N1,N2,exchanged_N2,masked_token,predicted_token,accuracy,was_position,were_position,was_position_interval,were_position_interval
174,The collector lost the picture of the house which,The collector lost the picture of the models which [MASK],which,singular,BERT,base,BERT-base,picture,house,models,was,were,0,9,8,2,2
175,The cop greeted the son of the cook who,The cop greeted the son of the houses who [MASK],who,singular,BERT,base,BERT-base,son,cook,house,was,was,1,11,16,3,4
176,The count ordered the steak of the sauce which,The count ordered the steak of the cooks which [MASK],which,singular,BERT,base,BERT-base,steak,sauce,cook,was,was,1,10,16,2,4
177,The crazy man hit the dog of the neighbor which   ,The crazy man hit the dog of the boys which [MASK],which,singular,BERT,base,BERT-base,dog,neighbor,boy,was,was,1,9,40,2,5
178,The crewman cleaned the oar of the boat which,The crewman cleaned the oar of the tramps which [MASK],which,singular,BERT,base,BERT-base,oar,boat,tramp,was,were,0,19,6,4,2
179,The critics judge very harshly the lithograph of the park which,The critics judge very harshly the lithograph of the painters which [MASK],which,singular,BERT,base,BERT-base,lithograph,park,painter,was,were,0,42,17,5,4
180,The customer called to the assistants of the pharmacist who,The customer called to the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistants,pharmacist,laboratory,was,was,1,9,19,2,4
181,The customer spoke to the assistant of the pharmacist who,The customer spoke to the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,pharmacist,laboratory,was,was,1,10,23,2,5
182,The dean liked the secretary of the professor who,The dean liked the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,professor,office,was,was,1,7,13,2,3
183,The dean looked at the emblem of the college which,The dean looked at the emblem of the princes which [MASK],which,singular,BERT,base,BERT-base,emblem,college,prince,was,was,1,7,14,2,3
184,The dean was thinking about the professor of the researcher who,The dean was thinking about the professor of the universities who [MASK],who,singular,BERT,base,BERT-base,professor,researcher,university,was,was,1,8,17,2,4
185,The dean was thinking about the researcher of the professor who,The dean was thinking about the researcher of the laboratories who [MASK],who,singular,BERT,base,BERT-base,researcher,professor,laboratory,was,was,1,9,15,2,3
187,The designer agreed to show us the sketch of the house which,The designer agreed to show us the sketch of the artists which [MASK],which,singular,BERT,base,BERT-base,sketch,house,artist,was,was,1,11,17,3,4
188,The detective photographed the friend of the student who,The detective photographed the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,student,house,was,was,1,9,15,2,3
189,The detective photographed the suitcase of the student which   ,The detective photographed the suitcase of the grooms which [MASK],which,singular,BERT,base,BERT-base,suitcase,student,groom,was,were,0,9,8,2,2
190,The detective pursued the bride of the prince who,The detective pursued the bride of the weddings who [MASK],who,singular,BERT,base,BERT-base,bride,prince,wedding,was,were,0,13,12,3,3
191,The director congratulated the instructor of the boy who,The director congratulated the instructor of the laboratories who [MASK],who,singular,BERT,base,BERT-base,instructor,boy,laboratory,was,was,1,13,15,3,3
193,The director discussed the set of the movie which,The director discussed the set of the builders which [MASK],which,singular,BERT,base,BERT-base,set,movie,builder,was,were,0,14,12,3,3
194,The director looked at the artists of the actress who,The director looked at the artist of the songs who [MASK],who,singular,BERT,base,BERT-base,artists,actress,songs,was,was,1,10,15,2,3
195,The director noticed the hairdresser of the actress who,The director noticed the hairdresser of the salons who [MASK],who,singular,BERT,base,BERT-base,hairdresser,actress,salon,was,was,1,9,28,2,5
196,The director spoke to the actor of the cameraman who,The director spoke to the actor of the movies who [MASK],who,singular,BERT,base,BERT-base,actor,cameraman,movie,was,was,1,12,35,3,5
197,The doctor contacted the lawyers of the nurses who,The doctor contacted the lawyer of the offices who [MASK],who,singular,BERT,base,BERT-base,lawyers,nurses,office,was,was,1,12,13,3,3
198,The doctor contacted the nurses of the lawyer who,The doctor contacted the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurses,lawyer,hospital,was,was,1,13,19,3,4
199,The doctor examined the nurse of the pupil who,The doctor examined the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurse,pupil,hospital,was,was,1,10,13,2,3
200,The doctor met the son of the colonel who,The doctor met the son of the houses who [MASK],who,singular,BERT,base,BERT-base,son,colonel,house,was,was,1,14,17,3,4
201,The doctor observed the attorney of the consultant who,The doctor observed the attorney of the offices who [MASK],who,singular,BERT,base,BERT-base,attorney,consultant,office,was,were,0,14,13,3,3
202,The doctor recognized the nurse of the patient who,The doctor recognized the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurse,patient,hospital,was,was,1,10,13,2,3
203,The doctor smiled at the nurses of the patient who,The doctor smiled at the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurses,patient,hospital,was,was,1,10,18,2,4
204,The dog barked at the football of the boy which   ,The dog barked at the football of the footballers which [MASK],which,singular,BERT,base,BERT-base,football,boy,footballer,was,was,1,10,11,2,3
205,The dog barked at the niece of the empress who,The dog barked at the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,empress,poem,was,was,1,12,39,3,5
206,The doorman was talking to the sister of the nurse who,The doorman was talking to the sister of the houses who [MASK],who,singular,BERT,base,BERT-base,sister,nurse,house,was,was,1,7,16,2,4
207,The dressmaker was sewing the dress of the girl which   ,The dressmaker was sewing the dress of the hairdressers which [MASK],which,singular,BERT,base,BERT-base,dress,girl,hairdresser,was,was,1,7,8,2,2
208,The economist liked the journalist of the editor who,The economist liked the journalist of the universities who [MASK],who,singular,BERT,base,BERT-base,journalist,editor,university,was,were,0,21,11,5,3
209,The emperor described the painting of the crown which,The emperor described the painting of the painters which [MASK],which,singular,BERT,base,BERT-base,painting,crown,painter,was,were,0,19,14,4,3
210,The employee greeted the worker of the manager who,The employee greeted the worker of the hospitals who [MASK],who,singular,BERT,base,BERT-base,worker,manager,hospital,was,was,1,12,13,3,3
211,The explosion deafened the assistant of the inspector who,The explosion deafened the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,inspector,laboratory,was,was,1,12,25,3,5
212,The explosion reached the assistant of the superintendent who,The explosion reached the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,superintendent,laboratory,was,was,1,9,37,2,5
213,The explosion reached the car of the teacher which   ,The explosion reached the car of the drivers which [MASK],which,singular,BERT,base,BERT-base,car,teacher,driver,was,were,0,9,8,2,2
214,The fan despised the mascot of the team which,The fan despised the mascot of the cheerleaders which [MASK],which,singular,BERT,base,BERT-base,mascot,team,cheerleaders,was,was,1,10,20,2,4
215,The fan looked at the guitarist of the singers who,The fan looked at the guitarist of the bands who [MASK],who,singular,BERT,base,BERT-base,guitarist,singers,band,was,was,1,12,16,3,4
216,The fireman called to the photographer of the journalist who,The fireman called to the photographer of the sculptures who [MASK],who,singular,BERT,base,BERT-base,photographer,journalist,sculpture,was,was,1,11,22,3,5
217,The fireman observed the photographers of the journalist who,The fireman observed the photographer of the sculptures who [MASK],who,singular,BERT,base,BERT-base,photographers,journalist,sculpture,was,was,1,10,24,2,5
218,The girl was interested in the artist of the actress who,The girl was interested in the artist of the sculptures who [MASK],who,singular,BERT,base,BERT-base,artist,actress,sculpture,was,was,1,12,21,3,5
219,The governor bought some books for the library of the school which,The governor bought some books for the library of the visitors which [MASK],which,singular,BERT,base,BERT-base,library,school,visitor,was,were,0,13,8,3,2
220,The grandfather bothered the father of the boy who,The grandfather bothered the father of the houses who [MASK],who,singular,BERT,base,BERT-base,father,boy,house,was,was,1,10,16,2,4
221,The guest impressed the brother of the bridegroom who,The guest impressed the brother of the houses who [MASK],who,singular,BERT,base,BERT-base,brother,bridegroom,house,was,was,1,9,17,2,4
222,The headmaster called to the pupils of the teacher who,The headmaster called to the pupil of the schools who [MASK],who,singular,BERT,base,BERT-base,pupils,teacher,school,was,were,0,11,8,3,2
223,The headmaster called to the teacher of the pupil who,The headmaster called to the teacher of the schools who [MASK],who,singular,BERT,base,BERT-base,teacher,pupil,school,was,was,1,9,14,2,3
224,The headmaster smiled at the pupils of the teacher who,The headmaster smiled at the pupil of the schools who [MASK],who,singular,BERT,base,BERT-base,pupils,teacher,school,was,was,1,11,16,3,4
225,The host insulted the friend of the pharmacist who,The host insulted the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,pharmacist,house,was,was,1,10,33,2,5
226,The hotel director didn't want to see the guide of the tourists who,The hotel director did n't want to see the guide of the books who [MASK],who,singular,BERT,base,BERT-base,guide,tourists,book,was,was,1,12,46,3,5
227,The housekeeper searched for the maid of the duchess who,The housekeeper searched for the maid of the palaces who [MASK],who,singular,BERT,base,BERT-base,maid,duchess,palace,was,was,1,7,16,2,4
228,The impolite students stared at the husband of the headmaster who,The impolite students stared at the husband of the houses who [MASK],who,singular,BERT,base,BERT-base,husband,headmaster,house,was,were,0,15,12,3,3
229,The inspector glanced at the deputies of the policeman who,The inspector glanced at the deputy of the offices who [MASK],who,singular,BERT,base,BERT-base,deputies,policeman,office,was,was,1,9,17,2,4
231,The inspector observed the suitcase of the traveler which   ,The inspector observed the suitcase of the grooms which [MASK],which,singular,BERT,base,BERT-base,suitcase,traveler,groom,was,was,1,10,11,2,3
232,The inspector watched the deputies of the policemen who,The inspector watched the deputy of the offices who [MASK],who,singular,BERT,base,BERT-base,deputies,policemen,office,was,was,1,8,13,2,3
233,The insurance inspector photographed the engine of the boat which,The insurance inspector photographed the engine of the mechanics which [MASK],which,singular,BERT,base,BERT-base,engine,boat,mechanic,was,was,1,9,15,2,3
234,The interviewer looked at the bodyguards of the prince who,The interviewer looked at the bodyguard of the palaces who [MASK],who,singular,BERT,base,BERT-base,bodyguards,prince,palace,was,was,1,12,13,3,3
235,The interviewer paid the son of the journalist who,The interviewer paid the son of the houses who [MASK],who,singular,BERT,base,BERT-base,son,journalist,house,was,was,1,12,18,3,4
236,The journalist asked for the secretary of the minister who,The journalist asked for the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,minister,office,was,was,1,9,22,2,5
237,The journalist called to the secretary of the ministers who,The journalist called to the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,ministers,office,was,was,1,12,26,3,5
238,The journalist criticized the pilot of the traveler who,The journalist criticized the pilot of the planes who [MASK],who,singular,BERT,base,BERT-base,pilot,traveler,plane,was,was,1,13,18,3,4
239,The journalist had interviewed the daughter of the colonel who,The journalist had interviewed the daughter of the houses who [MASK],who,singular,BERT,base,BERT-base,daughter,colonel,house,was,was,1,13,14,3,3
